Date,Open,High,Low,Close,Volume
2023-01-02,18131.7,18215.15,18086.5,18197.45,256100000
2023-01-03,18163.2,18251.95,18149.8,18232.55,208700000
2023-01-04,18230.65,18243.0,18020.6,18042.95,235200000
2023-01-05,18101.95,18120.3,17892.6,17992.15,269900000
2023-01-06,18008.05,18047.4,17795.55,17859.45,238200000
2023-01-09,17952.55,18141.4,17936.15,18101.2,258100000
2023-01-10,18121.3,18141.4,17856.0,17914.15,317000000
2023-01-11,17924.25,17976.35,17824.35,17895.7,219800000
2023-01-12,17920.85,17936.0,17761.65,17858.2,216600000
2023-01-13,17867.5,17999.35,17774.25,17956.6,220700000
2023-01-16,18033.25,18049.65,17886.95,17894.85,219300000
2023-01-17,17922.8,17972.65,17886.95,17953.5,232700000
2023-01-18,17995.2,18183.75,17993.4,18165.35,274600000
2023-01-19,18119.8,18155.2,18063.75,18107.85,206700000
2023-01-20,18115.6,18145.45,18016.2,18027.65,217800000
2023-01-23,18118.45,18162.6,18063.45,18118.55,200100000
2023-01-24,18183.95,18201.25,18078.65,18118.3,252800000
2023-01-25,18093.35,18100.6,17846.15,17891.95,302900000
2023-01-27,17877.2,17884.75,17493.55,17604.35,338300000
2023-01-30,17541.95,17709.15,17405.55,17648.95,335900000
2023-01-31,17731.45,17735.7,17537.55,17662.15,316900000
2023-02-01,17811.6,17972.2,17353.4,17616.3,556300000
2023-02-02,17517.1,17653.9,17445.95,17610.4,411000000
2023-02-03,17721.75,17870.3,17584.2,17854.05,372200000
2023-02-06,17818.55,17823.7,17698.35,17764.6,268700000
2023-02-07,17790.1,17805.3,17652.55,17721.5,237200000
2023-02-08,17750.3,17898.7,17744.15,17871.7,294300000
2023-02-09,17885.5,17916.9,17779.8,17893.45,263300000
2023-02-10,17847.55,17876.95,17801.0,17856.5,231500000
2023-02-13,17859.1,17865.45,17719.75,17770.9,219800000
2023-02-14,17840.35,17954.55,17800.05,17929.85,274400000
2023-02-15,17942.8,18034.25,17853.8,18015.85,239300000
2023-02-16,18044.25,18134.75,18000.65,18035.85,246200000
2023-02-17,17974.85,18034.25,17884.6,17944.2,203500000
2023-02-20,17965.55,18004.35,17818.4,17844.6,197300000
2023-02-21,17905.8,17924.9,17800.3,17826.7,212100000
2023-02-22,17755.35,17772.5,17529.45,17554.3,275900000
2023-02-23,17574.65,17620.05,17455.4,17511.25,291900000
2023-02-24,17591.35,17599.75,17421.8,17465.8,241900000
2023-02-27,17428.6,17435.9,17255.2,17392.7,288200000
2023-02-28,17383.25,17440.45,17284.15,17303.95,286300000
2023-03-01,17360.1,17467.75,17345.2,17450.9,335000000
2023-03-02,17421.5,17445.8,17306.0,17321.9,285300000
2023-03-03,17451.25,17644.75,17427.7,17594.35,321000000
2023-03-06,17680.35,17809.95,17671.95,17711.45,299700000
2023-03-08,17665.75,17766.5,17573.6,17754.4,264100000
2023-03-09,17772.05,17772.35,17573.5,17589.6,242800000
2023-03-10,17443.8,17451.5,17324.35,17412.9,235300000
2023-03-13,17421.9,17529.9,17113.45,17154.3,255100000
2023-03-14,17160.55,17224.65,16987.1,17043.3,310100000
2023-03-15,17166.45,17211.35,16938.85,16972.15,355900000
2023-03-16,16966.8,17062.45,16850.15,16985.6,357700000
2023-03-17,17111.8,17144.15,16958.15,17100.05,431100000
2023-03-20,17066.6,17066.6,16828.35,16988.4,260800000
2023-03-21,17060.4,17127.7,17016.0,17107.5,230400000
2023-03-22,17177.45,17207.25,17107.85,17151.9,211200000
2023-03-23,17097.4,17205.4,17045.3,17076.9,219800000
2023-03-24,17076.2,17109.45,16917.35,16945.05,228000000
2023-03-27,16984.3,17045.3,16913.75,16985.7,218400000
2023-03-28,17031.75,17061.75,16953.55,16951.7,238800000
2023-03-29,16977.3,17126.15,16940.6,17080.7,345900000
2023-03-31,17210.35,17381.6,17204.65,17359.75,263900000
